Merchant ID,Merchant Name,Payment Method,Transaction ID,Transaction Type,Status,Transaction Time,Order ID,Amount,Currency,POS ID,Scheme,Execution Time,Country Code,Original Amount,Original Currency,Settlement ID,Order Description,Order Detail Description,Sub Merchant ID
1604896139,Study Mode,MasterCard,1211320942,Debit,settled,2015-04-10 08:17:05.072,317640326201428646040,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142472649,Debit,settled,2015-04-10 08:55:37.318,317648786201428648740,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142486172,Debit,settled,2015-04-10 09:38:03.546,36495313701428651339,24.95,BRL,R,,,,24.95,BRL,1141039809,R$24,95 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,MasterCard,1211321660,Debit,settled,2015-04-10 11:26:15.911,317564442401428657891,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142488210,Debit,settled,2015-04-10 12:01:12.312,315380641901428659917,7.45,BRL,R,,,,7.45,BRL,1141039809,R$7,45 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1211321882,Debit,settled,2015-04-10 12:49:21.371,36159268401428662860,24.95,BRL,R,,,,24.95,BRL,1141039809,R$24,95 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,MasterCard,1142486460,Debit,settled,2015-04-10 13:05:10.946,315580001501428663722,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142488565,Debit,settled,2015-04-10 13:13:23.112,317649726401428663803,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142486488,Debit,settled,2015-04-10 13:19:36.863,314371778401428664600,24.95,BRL,R,,,,24.95,BRL,1141039809,R$24,95 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,MasterCard,1142488639,Debit,settled,2015-04-10 13:25:55.266,317649768101428664765,49.90,BRL,R,,,,49.90,BRL,1141039809,R$49,90 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,Visa,1142489021,Debit,settled,2015-04-10 13:28:03.164,313242603801428665219,24.95,BRL,R,,,,24.95,BRL,1141039809,R$24,95 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,MasterCard,1211322497,Debit,settled,2015-04-10 13:39:02.454,317649726101428665883,49.90,BRL,R,,,,49.90,BRL,1141039809,R$49,90 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,Visa,1142488762,Debit,settled,2015-04-10 13:48:14.789,317611159001428666444,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142489096,Debit,settled,2015-04-10 13:58:42.872,317650136501428667079,49.90,BRL,R,,,,49.90,BRL,1141039809,R$49,90 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,MasterCard,1211322850,Debit,settled,2015-04-10 14:17:54.326,317616720701428668208,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142488959,Debit,settled,2015-04-10 14:20:03.773,317633862101428668169,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142489134,Debit,settled,2015-04-10 14:25:43.318,317650329401428668662,49.90,BRL,R,,,,49.90,BRL,1141039809,R$49,90 por semestre (6 meses). Cobrança única. Melhor custo-benefício.,,
1604896139,Study Mode,Visa,1142489543,Debit,settled,2015-04-10 14:40:51.093,317650516601428669625,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142489577,Debit,settled,2015-04-10 14:47:16.203,312949354401428669925,7.45,BRL,R,,,,7.45,BRL,1141039809,R$7,45 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142489593,Debit,settled,2015-04-10 14:51:19.822,314365611901428670207,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142489644,Debit,settled,2015-04-10 14:58:06.554,317650645901428670546,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1211323700,Debit,settled,2015-04-10 15:00:05.729,317650579001428670739,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142489198,Debit,settled,2015-04-10 15:08:24.075,317646405101428671243,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1211324295,Debit,settled,2015-04-10 15:18:32.081,317650801001428671830,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1211323898,Debit,settled,2015-04-10 15:20:09.384,313996660201428671929,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142489894,Debit,settled,2015-04-10 15:33:29.619,317651017601428672757,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142489246,Debit,settled,2015-04-10 15:33:51.524,317647351601428672761,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142489941,Debit,settled,2015-04-10 15:42:59.131,317651189801428673288,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142490005,Debit,settled,2015-04-10 15:51:44.348,317651304701428673815,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1211324735,Debit,settled,2015-04-10 15:52:16.258,317649966401428673743,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142490040,Debit,settled,2015-04-10 15:58:06.922,317650997801428674143,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1211324800,Debit,settled,2015-04-10 15:58:38.002,317651037701428674250,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,Visa,1142490050,Debit,settled,2015-04-10 15:59:17.726,317651178101428674251,14.90,BRL,R,,,,14.90,BRL,1141039809,R$14,90 faturado mensalmente. Planos mais populares.,,
1604896139,Study Mode,MasterCard,1142490060,Debit,settled,2015-04-10 16:00:00.396,36433937001428674322,7.45,BRL,R,,,,7.45,BRL,1141039809,R$7,45 faturado mensalmente. Planos mais populares.,,
